Path	Lines of Code
vendor/thecodingmachine/safe/generated/8.1/posix.php	181
vendor/thecodingmachine/safe/generated/8.1/ps.php	538
vendor/thecodingmachine/safe/generated/8.1/pspell.php	143
vendor/thecodingmachine/safe/generated/8.1/readline.php	59
vendor/thecodingmachine/safe/generated/8.1/rector-migrate.php	1107
vendor/thecodingmachine/safe/generated/8.1/rpminfo.php	11
vendor/thecodingmachine/safe/generated/8.1/rrd.php	84
vendor/thecodingmachine/safe/generated/8.1/sem.php	141
vendor/thecodingmachine/safe/generated/8.1/session.php	172
vendor/thecodingmachine/safe/generated/8.1/shmop.php	20
vendor/thecodingmachine/safe/generated/8.1/sockets.php	240
vendor/thecodingmachine/safe/generated/8.1/sodium.php	126
vendor/thecodingmachine/safe/generated/8.1/solr.php	12
vendor/thecodingmachine/safe/generated/8.1/spl.php	54
vendor/thecodingmachine/safe/generated/8.1/sqlsrv.php	197
vendor/thecodingmachine/safe/generated/8.1/ssdeep.php	30
vendor/thecodingmachine/safe/generated/8.1/ssh2.php	242
vendor/thecodingmachine/safe/generated/8.1/stream.php	226
vendor/thecodingmachine/safe/generated/8.1/strings.php	39
vendor/thecodingmachine/safe/generated/8.1/swoole.php	71
vendor/thecodingmachine/safe/generated/8.1/uodbc.php	332
vendor/thecodingmachine/safe/generated/8.1/uopz.php	19
vendor/thecodingmachine/safe/generated/8.1/url.php	43
vendor/thecodingmachine/safe/generated/8.1/var.php	11
vendor/thecodingmachine/safe/generated/8.1/xdiff.php	84
vendor/thecodingmachine/safe/generated/8.1/xml.php	91
vendor/thecodingmachine/safe/generated/8.1/xmlrpc.php	11
vendor/thecodingmachine/safe/generated/8.1/yaml.php	42
vendor/thecodingmachine/safe/generated/8.1/yaz.php	73
vendor/thecodingmachine/safe/generated/8.1/zip.php	64
vendor/thecodingmachine/safe/generated/8.1/zlib.php	216
vendor/thecodingmachine/safe/generated/8.2/array.php	55
vendor/thecodingmachine/safe/generated/8.2/curl.php	124
vendor/thecodingmachine/safe/generated/8.2/datetime.php	206
vendor/thecodingmachine/safe/generated/8.2/errorfunc.php	17
vendor/thecodingmachine/safe/generated/8.2/exec.php	64
vendor/thecodingmachine/safe/generated/8.2/filesystem.php	478
vendor/thecodingmachine/safe/generated/8.2/fpm.php	20
