Metric		Current
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		28.25
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		85
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		12.24
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		3.17
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		211
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_PERCENTAGE		85.43
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_COUNT		29
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_LOC		36
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_PERCENTAGE		14.57
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_NEGLIGIBLE_RISK_LOC		262
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_NEGLIGIBLE_RISK_COUNT		31
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_LOC		3,771
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_PERCENTAGE		53.47
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_COUNT		443
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_LOW_RISK_LOC		2,111
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_LOW_RISK_PERCENTAGE		29.93
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_LOW_RISK_COUNT		84
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_MEDIUM_RISK_PERCENTAGE		13.19
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_MEDIUM_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_HIGH_RISK_PERCENTAGE		3.42
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_MEDIUM_RISK_COUNT		0
